id,item_type,title,chars,words
839,Contextual Item,Hut 211,124,21
840,Contextual Item,Huts 9 and 10,1124,189
841,Contextual Item,The Men's Camp,477,72
842,Contextual Item,The Star Camp,497,83
843,Contextual Item, The Gate to the Concentration Camp Prisoners' Compound,448,75
844,Contextual Item,The Hungarians' Camp,518,84
845,Contextual Item,The Star Camp's Roll-Call Square,611,99
846,Contextual Item,The Camp's Main Street,525,91
847,Contextual Item,The Camp's Perimeter,534,89
848,Contextual Item,Workshops,600,95
849,Contextual Item,Delousing Baths,625,100
850,Contextual Item,The Women's Camp,629,101
851,Contextual Item,Friedhof und Nachkriegsgestaltung,678,110
852,Contextual Item,Prisoners of the Polish Home Army (Armia Krajowa),673,107
853,Contextual Item,Captured Soldiers from the Polish Home Army,598,95
854,Landscape Item,LND Landscape Overview,39,4
855,Contextual Item,Polish Cross Monument,292,52
856,Contextual Item,Italian Military Internees,747,116
858,Landscape Item,Jewish Monument,631,101
859,Contextual Item,"CTX: The Concentration Camp, Introduction",1277,198
860,Landscape Item,VP M.B. 87 Nebenlager,11,1
861,Contextual Item,"The POW camp, Introduction",993,175
862,Landscape Item,LND Kitchen (#SK1061),556,90
863,Landscape Item,LND Camp's Main Entrance,542,86
864,Contextual Item,Camp overview by prisoners,485,76
865,Landscape Item,LND House of Silence,41,7
866,Landscape Item,LND Latrine Huts,418,72
867,Landscape Item,Field Hospital for Soviet POWs,625,103
868,Contextual Item,Neutrals' Camp,257,41
869,Landscape Item,Obelisk and Wall Monument,564,89
870,Landscape Item,Personal commemoration stones,378,61
871,Contextual Item,Special Camp for Jews from Poland,364,60
872,Contextual Item,Soviet Prisoners of War,799,132
873,Contextual Item,Perpetrators,1474,220
874,Contextual Item,Death and dying,761,128
875,Contextual Item,Gate to the Prisoner Compound,806,123
876,Contextual Item,"Watchtower, Separation strip",564,92
1136,Still Image,Lager részlet Bergen-Belsen 1945,89,12
1137,Still Image,A Bergen-Belsen-i tábor távlati képe,206,30
1138,Still Image,Skizze Albalalager (Sternlager) Bergen-Belsen Februar 1945,164,25
1140,Still Image,28 April 1945,119,20
1141,Still Image,4/28/1945,209,35
1142,Still Image,Hiver 1944. Modes d'Enfants à Bergen Belsen,72,8
